model_name,url,url.1,model_description,params,model_size,updated_url
huggingface-answerdotai-ModernBERT-base,https://huggingface.co/answerdotai/ModernBERT-base,https://huggingface.co/answerdotai/ModernBERT-base,fill-mask,,,https://huggingface.co/answerdotai/ModernBERT-base
huggingface-answerdotai-ModernBERT-large,https://huggingface.co/answerdotai/ModernBERT-large,https://huggingface.co/answerdotai/ModernBERT-large,fill-mask,,,https://huggingface.co/answerdotai/ModernBERT-large
Huggingface-avsolatorio-GIST-all-MiniLM-L6-v2,https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2,https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2,sentence-similarity,,,https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2
Huggingface-avsolatorio-GIST-Embedding-v0,https://huggingface.co/avsolatorio/GIST-Embedding-v0,https://huggingface.co/avsolatorio/GIST-Embedding-v0,sentence-similarity,,,https://huggingface.co/avsolatorio/GIST-Embedding-v0
Huggingface-avsolatorio-GIST-large-Embedding-v0,https://huggingface.co/avsolatorio/GIST-large-Embedding-v0,https://huggingface.co/avsolatorio/GIST-large-Embedding-v0,sentence-similarity,,,https://huggingface.co/avsolatorio/GIST-large-Embedding-v0
Huggingface-avsolatorio-GIST-small-Embedding-v0,https://huggingface.co/avsolatorio/GIST-small-Embedding-v0,https://huggingface.co/avsolatorio/GIST-small-Embedding-v0,sentence-similarity,,,https://huggingface.co/avsolatorio/GIST-small-Embedding-v0
huggingface-avsolatorio-NoInstruct-small-Embedding-v0,https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0,https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0,sentence-similarity,,,https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0
huggingface-baai-bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,feature-extraction,,,https://huggingface.co/baai/bge-base-en-v1.5
huggingface-baai-bge-large-en-v1.5,https://huggingface.co/baai/bge-large-en-v1.5,https://huggingface.co/baai/bge-large-en-v1.5,feature-extraction,,,https://huggingface.co/baai/bge-large-en-v1.5
huggingface-BAAI-bge-m3,,,,,,
huggingface-BAAI-bge-reranker-large,https://huggingface.co/baai/bge-reranker-large,https://huggingface.co/baai/bge-reranker-large,feature-extraction,,,https://huggingface.co/baai/bge-reranker-large
huggingface-baai-bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3,text-classification,,,https://huggingface.co/BAAI/bge-reranker-v2-m3
